Activity_ID,Parent_ID,WBS,Discipline,Activity_Name,Description,Location,Asset_Tag,Planned_Quantity,Unit,Planned_Start,Planned_Finish,Status,Responsible_Role,Inspection_Hold_Point,Safety_Critical
CIV-PS3-TR-0180,WBS-CIV,1.01.01,Civil,Utility Trench Excavation CH 0+180 to CH 0+220,Excavation of utility corridor trench section CH 0+180 to CH 0+220,Pump Station 3,TR-0180,40.0,m,2026-08-14,2026-08-14,Complete,Civil Supervisor,Trench depth and invert level check,Yes
CIV-PS3-TR-0220,WBS-CIV,1.01.02,Civil,Utility Trench Excavation CH 0+220 to CH 0+260,Excavation of utility corridor trench section CH 0+220 to CH 0+260,Pump Station 3,TR-0220,40.0,m,2026-08-15,2026-08-16,Complete,Civil Supervisor,Trench depth and invert level check,Yes
CIV-PS3-FND-001,WBS-CIV,1.01.03,Civil,Pump P-101/P-102 Foundation Blinding,Soil excavation and lean concrete blinding for crude pump base,Pump Station 3,FND-P101,65.0,m3,2026-08-11,2026-08-13,Complete,Civil QC Inspector,Bearing capacity soil test,No
CIV-PS3-FND-002,WBS-CIV,1.01.04,Civil,Pump P-101/P-102 Rebar & Formwork,"Rebar fixing, embedded anchor bolts, and shuttering for pump base",Pump Station 3,FND-P101,12.0,t,2026-08-14,2026-08-18,Complete,Civil Supervisor,Pre-pour rebar and anchor alignment check,No
CIV-PS3-FND-003,WBS-CIV,1.01.05,Civil,Pump P-101/P-102 Foundation Concrete Pour,Grade 40 concrete pouring and wet burlap curing for pump foundation,Pump Station 3,FND-P101,60.0,m3,2026-08-19,2026-08-21,Complete,Civil Lead,Concrete slump and cube sampling,No
CIV-PS3-DRN-001,WBS-CIV,1.01.06,Civil,Stormwater Drainage Channel Installation,Precast concrete U-drain channel placement Section A,Pump Station 3,DRN-001,120.0,m,2026-08-12,2026-08-20,Ongoing,Civil Supervisor,Slope and invert elevation check,No
CIV-PS3-RD-001,WBS-CIV,1.01.07,Civil,Road Crossing Duct Bank Encasement,"Excavation, duct laying, and concrete encasement across perimeter road",Perimeter Road,RD-001,50.0,m,2026-08-18,2026-08-22,Ongoing,Civil Supervisor,Mandrel pull test through ducts,Yes
CIV-PS3-BKF-001,WBS-CIV,1.01.08,Civil,Trench Backfill & Compaction CH 0+000-0+180,Layer-by-layer select soil backfill and vibratory plate compaction,Pump Station 3,BKF-001,350.0,m3,2026-08-15,2026-08-22,Ongoing,Civil QC Inspector,Nuclear density compaction test 95% MDD,No
PIP-PS3-WLD-024,WBS-PIP,1.02.01,Piping,Utility Header Field Weld Joints,Complete field weld joints for 16-inch utility header,Pump Station 3,P-102,24.0,joints,2026-08-11,2026-08-15,Complete,Welding Inspector,100% Visual Testing and 20% Radiographic Testing,Yes
PIP-PS3-HDR-100,WBS-PIP,1.02.02,Piping,Above Ground Utility Header Fabrication,Complete fabrication and erection of utility header line,Pump Station 3,HDR-100,100.0,m,2026-08-12,2026-08-22,Ongoing,Piping Superintendent,Line walk and punch list clearing,No
PIP-PS3-HDR-100-A,PIP-PS3-HDR-100,1.02.02.01,Piping,Utility Header Spool Section A,"Spool placement, fit-up and tack welding for Section A",Pump Station 3,HDR-100-A,40.0,m,2026-08-12,2026-08-16,Complete,Piping Supervisor,Fit-up inspection,No
PIP-PS3-HDR-100-B,PIP-PS3-HDR-100,1.02.02.02,Piping,Utility Header Spool Section B,"Spool placement, fit-up and tack welding for Section B",Pump Station 3,HDR-100-B,30.0,m,2026-08-15,2026-08-19,Ongoing,Piping Supervisor,Fit-up inspection,No
PIP-PS3-HDR-100-C,PIP-PS3-HDR-100,1.02.02.03,Piping,Utility Header Spool Section C,"Spool placement, fit-up and tack welding for Section C",Pump Station 3,HDR-100-C,30.0,m,2026-08-18,2026-08-22,Ongoing,Piping Supervisor,Fit-up inspection,No
